title,year,genre,cast_hint,director,plot_hint,tagline_text
The Crying Game,1992,"Crime, Drama, Thriller","Stephen Rea, Miranda Richardson, Jaye Davidson",,"Irish Republican Army member Fergus forms an unexpected bond with Jody, a kidnapped British soldier in his custody, despite the warnings of fellow IRA members Jude and Maguire. Jody makes Fergus promise he'll visit his girlfriend, Dil, in London, and when Fergus flees to the city, he seeks her out. Hounded by his former IRA colleagues, he finds himself increasingly drawn to the enigmatic, and surprising, Dil.",...play it at your own risk.
The Curious Case of Benjamin Button,2008,"Drama, Fantasy, Romance","Brad Pitt, Cate Blanchett, Taraji P. Henson",,"Born under unusual circumstances, Benjamin Button springs into being as an elderly man in a New Orleans nursing home and ages in reverse. Twelve years after his birth, he meets Daisy, a child who flits in and out of his life as she grows up to be a dancer. Though he has all sorts of unusual adventures over the course of his life, it is his relationship with Daisy, and the hope that they will come together at the right time, that drives Benjamin forward.","Life isn't measured in minutes, but in moments."
The Da Vinci Code,2006,"Thriller, Mystery","Tom Hanks, Audrey Tautou, Ian McKellen",,"A murder in Paris’ Louvre Museum and cryptic clues in some of Leonardo da Vinci’s most famous paintings lead to the discovery of a religious mystery. For 2,000 years a secret society closely guards information that — should it come to light — could rock the very foundations of Christianity.",Seek the truth.
The Dark Crystal,1982,"Adventure, Family, Fantasy","Jim Henson, Kathryn Mullen, Frank Oz",,"On another planet in the distant past, a Gelfling embarks on a quest to find the missing shard of a magical crystal and restore order to his world, before the grotesque race of Skeksis find and use the crystal for evil.","Another world, another time... in the age of wonder."
The Day After Tomorrow,2004,"Science Fiction, Thriller, Adventure","Dennis Quaid, Jake Gyllenhaal, Emmy Rossum",,"After paleoclimatologist Jack Hall is largely ignored by UN officials when presenting his environmental concerns about the beginning of a new Ice Age, his research proves true when a superstorm develops, setting off catastrophic natural disasters throughout the world. Trying to get to his son, Sam, who is trapped in New York City with his friend Laura and others, Jack and his crew must travel to get to Sam before it's too late.",Where will you be?
The Deep House,2021,"Horror, Mystery","James Jagger, Camille Rowe, Éric Savin",,"While diving in a remote French lake, a couple of YouTubers who specialise in underwater exploration videos discover a house submerged in the deep waters. What was initially a unique finding soon turns into a nightmare when they discover that the house was the scene of atrocious crimes. Trapped, with their oxygen reserves falling dangerously, they realise the worst is yet to come: they are not alone in the house.",Breathe while you still can.
The Deer Hunter,1978,"Drama, War","Robert De Niro, Christopher Walken, John Cazale",,"Three steelworkers enlist in the army and are sent to Vietnam, one leaving behind a rushed marriage, the others a shared love. What they encounter during the war changes their lives forever.",One of the most important and powerful films of all time!
The Departed,2006,"Drama, Thriller, Crime","Leonardo DiCaprio, Matt Damon, Jack Nicholson",,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.","Cops or criminals. When you’re facing a loaded gun, what’s the difference?"
The Descendants,2011,"Comedy, Drama","George Clooney, Shailene Woodley, Amara Miller",,"With his wife Elizabeth on life support after a boating accident, Hawaiian land baron Matt King takes his daughters on a trip from Oahu to Kauai to confront a young real estate broker, who was having an affair with Elizabeth before her misfortune.",The South Pacific ain't that terrific.
The Devil Wears Prada,2006,"Drama, Comedy","Meryl Streep, Anne Hathaway, Emily Blunt",,"A young woman from the Midwest gets more than she bargained for when she moves to New York to become a writer and ends up as the assistant to the tyrannical, larger-than-life editor-in-chief of a major fashion magazine.",Meet Andy Sachs. A million girls would kill to have her job. She's not one of them.
The Eight Hundred,2020,"War, History, Drama","Wang Qianyuan, Zhang Yi, Huang Zhizhong",,"In 1937, eight hundred Chinese soldiers fight under siege from a warehouse in the middle of the Shanghai battlefield, completely surrounded by the Japanese army.",Based on the true story of one of the greatest battles of WWII.
The Elephant Man,1980,"Drama, History","Anthony Hopkins, John Hurt, Anne Bancroft",,"A Victorian surgeon rescues a heavily disfigured man being mistreated by his ""owner"" as a side-show freak. Behind his monstrous façade, there is revealed a person of great intelligence and sensitivity. Based on the true story of Joseph Merrick (called John Merrick in the film), a severely deformed man in 19th century London.",A true story of courage and human dignity.
The Enforcer,2022,"Action, Crime, Drama","Antonio Banderas, Kate Bosworth, Mojean Aria",,"A noir thriller set in Miami, the film follows an enforcer who discovers his femme fatale boss has branched out into cyber sex trafficking, putting a young runaway he’s befriended at risk. He sacrifices everything to save the young girl from the deadly organization he’s spent his life building.",Some guardians aren't angels.
The English Patient,1996,"Drama, Romance, War","Ralph Fiennes, Juliette Binoche, Willem Dafoe",,"In the 1930s, Count Almásy is a Hungarian map maker employed by the Royal Geographical Society to chart the vast expanses of the Sahara Desert along with several other prominent explorers. As World War II unfolds, Almásy enters into a world of love, betrayal, and politics.","In love, there are no boundaries."
The Fabelmans,2022,Drama,"Michelle Williams, Paul Dano, Seth Rogen",,"Growing up in post-World War II era Arizona, young Sammy Fabelman aspires to become a filmmaker as he reaches adolescence, but soon discovers a shattering family secret and explores how the power of films can help him see the truth.",Capture every moment.
The Fast and the Furious,2001,"Action, Crime, Thriller","Paul Walker, Vin Diesel, Michelle Rodriguez",,"Dominic Toretto is a Los Angeles street racer suspected of masterminding a series of big-rig hijackings. When undercover cop Brian O'Conner infiltrates Toretto's iconoclastic crew, he falls for Toretto's sister and must choose a side: the gang or the LAPD.","If you have what it takes, you can have it all."
The Fate of the Furious,2017,"Action, Crime, Thriller","Vin Diesel, Jason Statham, Dwayne Johnson",,"When a mysterious woman seduces Dom into the world of crime and a betrayal of those closest to him, the crew face trials that will test them as never before.",Never give up on family.
The Fighter,2010,Drama,"Mark Wahlberg, Christian Bale, Amy Adams",,"Boxer ""Irish"" Micky Ward's unlikely road to the world light welterweight title. His Rocky-like rise was shepherded by half-brother Dicky, a boxer-turned-trainer who rebounded in life after nearly being KO'd by drugs and crime.",Every dream deserves a fighting chance.
The Firm,1993,"Drama, Mystery, Thriller","Tom Cruise, Jeanne Tripplehorn, Gene Hackman",,"Mitch McDeere is a young man with a promising future in Law. About to sit his Bar exam, he is approached by 'The Firm' and made an offer he doesn't refuse. Seduced by the money and gifts showered on him, he is totally oblivious to the more sinister side of his company. Then, two Associates are murdered. The FBI contact him, asking him for information and suddenly his life is ruined. He has a choice - work with the FBI, or stay with the Firm. Either way he will lose his life as he knows it. Mitch figures the only way out is to follow his own plan...",Power can be murder to resist.
The Flash,2023,"Action, Science Fiction, Adventure","Ezra Miller, Sasha Calle, Michael Keaton",,"When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?",Worlds collide.
The Flintstones,1994,"Fantasy, Comedy, Family","John Goodman, Elizabeth Perkins, Rick Moranis",,Modern Stone Age family the Flintstones hit the big screen in this live-action version of the classic cartoon. Fred helps Barney adopt a child. Barney sees an opportunity to repay him when Slate Mining tests its employees to find a new executive. But no good deed goes unpunished.,Yabba-Dabba-Doo!
The Fly,1986,"Horror, Science Fiction","Jeff Goldblum, Geena Davis, John Getz",,"When Seth Brundle makes a huge scientific and technological breakthrough in teleportation, he decides to test it on himself. Unbeknownst to him, a common housefly manages to get inside the device and the two become one.",Be afraid. Be very afraid.
The French Connection,1971,"Action, Crime, Thriller","Gene Hackman, Roy Scheider, Fernando Rey",,Tough narcotics detective 'Popeye' Doyle is in hot pursuit of a suave French drug dealer who may be the key to a huge heroin-smuggling operation.,Doyle is bad news—but a good cop.
The Fugitive,1993,"Action, Thriller, Drama","Harrison Ford, Tommy Lee Jones, Joe Pantoliano",,"Wrongfully convicted of murdering his wife and sentenced to death, Richard Kimble escapes from the law in an attempt to find the real killer and clear his name.",A murdered wife. A one-armed man. An obsessed detective. The chase begins.
The Full Monty,1997,Comedy,"Robert Carlyle, Mark Addy, Wim Snape",,"Sheffield, England. Gaz, a jobless steelworker in need of quick cash persuades his mates to bare it all in a one-night-only strip show.",The year's most revealing comedy.
The Getaway,1994,"Action, Crime, Mystery","Alec Baldwin, Kim Basinger, Michael Madsen",,An ex-con and his devoted wife must flee from danger when a heist doesn't go as planned.,A dangerous deal. A double cross. And the ultimate set up is yet to come.
The Godfather Part III,1990,"Crime, Drama, Thriller","Al Pacino, Diane Keaton, Talia Shire",,"In the midst of trying to legitimize his business dealings in 1979 New York and Italy, aging mafia don, Michael Corleone seeks forgiveness for his sins while taking a young protege under his wing.",All the power on earth can't change destiny.
The Golden Child,1986,"Action, Adventure, Comedy","Eddie Murphy, Charles Dance, Charlotte Lewis",,"After a Tibetan boy, the mystical Golden Child, is kidnapped by the evil Sardo Numspa, humankind's fate hangs in the balance. On the other side of the world in Los Angeles, the priestess Kee Nang seeks the Chosen One, who will save the boy from death. When Nang sees social worker Chandler Jarrell on television discussing his ability to find missing children, she solicits his expertise, despite his skepticism over being ""chosen.""",Eddie Murphy is the chosen one.
The Goodbye Girl,1977,"Comedy, Drama, Romance","Richard Dreyfuss, Marsha Mason, Quinn Cummings",,"After being dumped by her live-in boyfriend, an unemployed dancer and her 10-year-old daughter are reluctantly forced to live with a struggling off-Broadway actor.",Thank you Neil Simon for making us laugh at falling in love... again.
The Goonies,1985,"Adventure, Comedy, Family","Sean Astin, Josh Brolin, Jeff Cohen",,"Young teen Mikey Walsh and his friends set off on a quest to find Pirate One-Eyed Willie's treasure in hopes of saving their homes from demolition. However, on their quest to find the treasure, they run into a family of recently escaped criminals, determined to capture the kids and reach the treasure first.","They call themselves ""The Goonies."" The secret caves. The old lighthouse. The lost map. The treacherous traps. The hidden adventure. And Sloth… Join the adventure."
The Grand Budapest Hotel,2014,"Comedy, Drama","Ralph Fiennes, F. Murray Abraham, Mathieu Amalric",,"The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century.",A murder case of Madam D. with enormous wealth and the most outrageous events surrounding her sudden death!
The Help,2011,Drama,"Emma Stone, Viola Davis, Bryce Dallas Howard",,"Aibileen Clark is a middle-aged African-American maid who has spent her life raising white children and has recently lost her only son; Minny Jackson is an African-American maid who has often offended her employers despite her family's struggles with money and her desperate need for jobs; and Eugenia ""Skeeter"" Phelan is a young white woman who has recently moved back home after graduating college to find out her childhood maid has mysteriously disappeared. These three stories intertwine to explain how life in Jackson, Mississippi revolves around ""the help""; yet they are always kept at a certain distance because of racial lines.",Change begins with a whisper.
The Hobbit: The Battle of the Five Armies,2014,"Action, Adventure, Fantasy","Ian McKellen, Martin Freeman, Richard Armitage",,"Following Smaug's attack on Laketown, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",Will you follow me... one last time?
The Hobbit: The Desolation of Smaug,2013,"Fantasy, Adventure, Action","Ian McKellen, Martin Freeman, Richard Armitage",,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",Beyond darkness... beyond desolation... lies the greatest danger of all.
The Holdovers,2023,"Drama, Comedy","Paul Giamatti, Dominic Sessa, Da'Vine Joy Randolph",,"A curmudgeonly instructor at a New England prep school is forced to remain on campus during Christmas break to babysit the handful of students with nowhere to go. Eventually, he forms an unlikely bond with one of them — a damaged, brainy troublemaker — and with the school’s head cook, who has just lost a son in Vietnam.",Discomfort and joy.
The Hours,2002,Drama,"Julianne Moore, Nicole Kidman, Meryl Streep",,"The story of three women searching for more potent, meaningful lives. Each is alive at a different time and place, all are linked by their yearnings and their fears. Their stories intertwine, and finally come together in a surprising, transcendent moment of shared recognition.",The time to hide is over. The time to regret is gone. The time to live is now.
The Hunger Games: Catching Fire,2013,"Adventure, Action, Science Fiction","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth",,"After surviving the Hunger Games, Katniss and Peeta struggle with the consequences of their victory as unrest spreads across Panem. Forced back into the spotlight, they become symbols of hope and resistance while the Capitol prepares a new and deadly challenge that will change the future of the nation forever.",Remember who the enemy is.
The Hunger Games: Mockingjay - Part 1,2014,"Science Fiction, Adventure, Thriller","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth",,"After surviving the Quarter Quell, Katniss finds herself in the hidden stronghold of District 13, where the rebellion against the Capitol is gaining momentum. Struggling with the weight of becoming the symbol of resistance, she must navigate fragile alliances while trying to protect those she loves. As propaganda battles rage and Panem moves closer to full-scale war, Katniss is forced to confront the true cost of revolution.",Fire burns brighter in the darkness.
The Hurt Locker,2008,"Drama, Thriller, War","Jeremy Renner, Anthony Mackie, Brian Geraghty",,"During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.",You don't have to be a hero to do this job. But it helps.
The Imitation Game,2014,"History, Drama, Thriller","Benedict Cumberbatch, Keira Knightley, Matthew Goode",,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",The true enigma was the man who cracked the code.
The Insider,1999,"Drama, Thriller","Al Pacino, Russell Crowe, Christopher Plummer",,A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.,Two men driven to tell the truth … whatever the cost.
The Irishman,2019,"Crime, Drama, History","Robert De Niro, Al Pacino, Joe Pesci",,"Pennsylvania, 1956. Frank Sheeran, a war veteran of Irish origin who works as a truck driver, accidentally meets mobster Russell Bufalino. Once Frank becomes his trusted man, Bufalino sends him to Chicago with the task of helping Jimmy Hoffa, a powerful union leader related to organized crime, with whom Frank will maintain a close friendship for nearly twenty years.",His story changed history.
The Jerk,1979,Comedy,"Steve Martin, Bernadette Peters, Catlin Adams",,"After discovering he's not really black like the rest of his family, likable dimwit Navin Johnson sets off on a hilarious misadventure that takes him from rags to riches and back again. The slaphappy jerk strikes it rich, but life in the fast lane isn't all it's cracked up to be and, in the end, all that really matters to Johnson is his true love.",A rags to riches to rags story.
The Jungle Book,2016,"Adventure, Family, Fantasy","Neel Sethi, Bill Murray, Ben Kingsley",,"After a threat from the tiger Shere Khan, Mowgli, a man-cub fostered by wolves, is forced to flee the jungle, and he embarks on a journey of self-discovery with the help of the panther, Bagheera, and the free-spirited bear, Baloo.",The legend comes to life.
The Karate Kid Part II,1986,"Adventure, Drama, Action","Ralph Macchio, Pat Morita, Danny Kamekona",,"Summoned by his dying father, Miyagi returns to his homeland of Okinawa, with Daniel, after a 40-year exile. There he must confront Yukie, the love of his youth, and Sato, his former best friend turned vengeful rival. Sato is bent on a fight to the death, even if it means the destruction of their village. Daniel finds his own love in Yukia's niece, Kumiko, and his own enemy in Sato's nephew, the vicious Chozen. Now, far away from the tournaments, cheering crowds and safety of home, Daniel will face his greatest challenge ever when the cost of honor is life itself.",One more lesson to share. The price of honor. The power of friendship. And the way you must fight when only the winner survives.
The Kids Are All Right,2010,"Comedy, Drama","Julianne Moore, Annette Bening, Mark Ruffalo",,"Two women, Nic and Jules, brought a son and daughter into the world through artificial insemination. When one of their children reaches age, both kids go behind their mothers' backs to meet with the donor. Life becomes so much more interesting when the father, two mothers and children start to become attached to each other.","Nic and Jules had the perfect family, until they met the man who made it all possible."
The Killing Fields,1984,"Drama, History, War","Sam Waterston, Haing S. Ngor, John Malkovich",,"New York Times reporter Sydney Schanberg is on assignment covering the Cambodian Civil War, with the help of local interpreter Dith Pran and American photojournalist Al Rockoff. When the U.S. Army pulls out amid escalating violence, Schanberg makes exit arrangements for Pran and his family. Pran, however, tells Schanberg he intends to stay in Cambodia to help cover the unfolding story — a decision he may regret as the Khmer Rouge rebels move in.","Here, only the silent survive."
The King's Speech,2010,"Drama, History","Colin Firth, Geoffrey Rush, Helena Bonham Carter",,"The King's Speech tells the story of the man who became King George VI, the father of Queen Elizabeth II. After his brother abdicates, George ('Bertie') reluctantly assumes the throne. Plagued by a dreaded stutter and considered unfit to be king, Bertie engages the help of an unorthodox speech therapist named Lionel Logue. Through a set of unexpected techniques, and as a result of an unlikely friendship, Bertie is able to find his voice and boldly lead the country into war.",Find your voice.
The Last Emperor,1987,"Drama, History","John Lone, Joan Chen, Peter O'Toole",,"A dramatic history of Pu Yi, the last of the Emperors of China, from his lofty birth and brief reign in the Forbidden City, the object of worship by half a billion people; through his abdication, his decline and dissolute lifestyle; his exploitation by the invading Japanese, and finally to his obscure existence as just another peasant worker in the People's Republic.","1500 slaves. 353,260,000 royal subjects. Warlords. Concubines. And 2 wives. He was the loneliest boy in the world."
The Last Picture Show,1971,"Drama, Romance","Timothy Bottoms, Cybill Shepherd, Jeff Bridges",,"High school seniors and best friends, Sonny and Duane, live in a dying Texas town. The handsome Duane is dating a local beauty, while Sonny is having an affair with the coach's wife. As graduation nears and both boys contemplate their futures, Duane eyes the army and Sonny takes over a local business. Each struggles to figure out if he can escape this dead-end town and build a better life somewhere else.","Anarene, Texas, 1951. Nothing much has changed…"
The Last Samurai,2003,"Drama, Action, War","Tom Cruise, Ken Watanabe, Timothy Spall",,"Nathan Algren is an American hired to instruct the Japanese army in the ways of modern warfare, which finds him learning to respect the samurai and the honorable principles that rule them. Pressed to destroy the samurai's way of life in the name of modernization and open trade, Algren decides to become an ultimate warrior himself and to fight for their right to exist.","In the face of an enemy, in the heart of one man, lies the soul of a warrior."
The Lion King,1994,"Animation, Family, Drama","Matthew Broderick, Moira Kelly, Jeremy Irons",,"Young lion prince Simba, eager to one day become king of the Pride Lands, grows up under the watchful eye of his father Mufasa; all the while his villainous uncle Scar conspires to take the throne for himself. Amid betrayal and tragedy, Simba must confront his past and find his rightful place in the Circle of Life.",The greatest adventure of all is finding our place in the Circle of Life.
The Little Mermaid,1989,"Animation, Family, Fantasy","Jodi Benson, Samuel E. Wright, Pat Carroll",,This colorful adventure tells the story of an impetuous mermaid princess named Ariel who falls in love with the very human Prince Eric and puts everything on the line for the chance to be with him. Memorable songs and characters -- including the villainous sea witch Ursula.,Somewhere under the sea and beyond your imagination is an adventure in fantasy.
The Longest Yard,2005,"Drama, Comedy, Crime","Adam Sandler, Chris Rock, James Cromwell",,"Disgraced pro football quarterback Paul Crewe lands in a Texas federal penitentiary, where manipulative Warden Hazen recruits him to advise the institution's football team of prison guards. Crewe suggests a tune-up game which lands him quarterbacking a crew of inmates in a game against the guards. Aided by incarcerated ex-NFL coach and player Nate Scarborough, Crewe and his team must overcome not only the bloodthirstiness of the opposition, but also the corrupt warden trying to fix the game against them.","If you can't get out, get even."
The Lost Boys,1987,"Horror, Comedy, Thriller","Jason Patric, Corey Haim, Dianne Wiest",,"When an unsuspecting town newcomer is drawn to local blood fiends, the Frog brothers and other unlikely heroes gear up to rescue him.",Sleep all day. Party all night. Never grow old. Never die. It's fun to be a vampire.
The Lost City,2022,"Action, Adventure, Comedy","Sandra Bullock, Channing Tatum, Daniel Radcliffe",,"Reclusive author Loretta Sage writes about exotic places in her popular adventure novels that feature a handsome cover model named Alan. While on tour promoting her new book with Alan, Loretta gets kidnapped by an eccentric billionaire who hopes she can lead him to the ancient city's lost treasure that featured in her latest story. Alan, determined to prove he can be a hero in real life and not just on the pages of her books, sets off to rescue her.",The adventure is real. The heroes are not.
The Lost World: Jurassic Park,1997,"Adventure, Action, Science Fiction","Jeff Goldblum, Julianne Moore, Pete Postlethwaite",,"Four years after Jurassic Park's genetically bred dinosaurs ran amok, multimillionaire John Hammond shocks chaos theorist Ian Malcolm by revealing that he has been breeding more beasties at a secret location. Malcolm, his paleontologist ladylove and a wildlife videographer join an expedition to document the lethal lizards' natural behavior in this action-packed thriller.",Something has survived.
The Man with the Golden Gun,1974,"Adventure, Action, Thriller","Roger Moore, Christopher Lee, Britt Ekland",,"Cool government operative James Bond searches for a stolen invention that can turn the sun's heat into a destructive weapon. He soon crosses paths with the menacing Francisco Scaramanga, a hitman so skilled he has a seven-figure working fee. Bond then joins forces with the swimsuit-clad Mary Goodnight, and together they track Scaramanga to a Thai tropical isle hideout where the killer-for-hire lures the slick spy into a deadly maze for a final duel.",The world's greatest villains tried to kill James Bond...now it's Scaramanga's turn to try!
The Martian,2015,"Science Fiction, Drama, Adventure","Matt Damon, Jessica Chastain, Kristen Wiig",,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.",Bring him home.
The Marvels,2023,"Science Fiction, Adventure, Action","Brie Larson, Teyonah Parris, Iman Vellani",,"When her duties send her to an anomalous wormhole linked to a Kree revolutionary, Carol's powers become entangled with that of Jersey City super-fan Kamala Khan, aka Ms. Marvel, and Carol's estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team up and learn to work in concert to save the universe.",Higher. Further. Faster. Together.
The Mask,1994,"Comedy, Fantasy, Crime","Jim Carrey, Peter Riegert, Peter Greene",,"Stanley Ipkiss, an insecure banker who has lost his zest for life stumbles upon an ancient mask, that turns him into a confident suave cartoon-like character who upsets his ordinary life.",From zero to hero.
The Matrix Reloaded,2003,"Adventure, Action, Thriller","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss",,"The Resistance builds in numbers as humans are freed from the Matrix and brought to the city of Zion. Neo discovers his superpowers, including the ability to see the code inside the Matrix. With machine sentinels digging to Zion in 72 hours, Neo, Morpheus and Trinity must find the Keymaker to ultimately reach the Source.",Free your mind.
The Mummy,1999,"Adventure, Action, Fantasy","Brendan Fraser, Rachel Weisz, John Hannah",,Dashing legionnaire Rick O'Connell stumbles upon the hidden ruins of Hamunaptra while in the midst of a battle to claim the area in 1920s Egypt. It has been over three thousand years since former High Priest Imhotep suffered a fate worse than death as a punishment for a forbidden love—along with a curse that guarantees eternal doom upon the world if he is ever awoken.,The sands will rise. The heavens will part. The power will be unleashed.
The Mummy Returns,2001,"Adventure, Action, Fantasy","Brendan Fraser, Rachel Weisz, John Hannah",,"Rick and Evelyn O’Connell, along with their 8-year-old son Alex, discover the key to the legendary Scorpion King’s might: the fabled Bracelet of Anubis. Unfortunately, a newly resurrected Imhotep has designs on the bracelet as well, and isn’t above kidnapping its new bearer, Alex, to gain control of Anubis’s otherworldly army.",Adventure is reborn.
The Muppet Movie,1979,"Family, Comedy, Adventure","Jim Henson, Frank Oz, Jerry Nelson",,"The Muppets gather to watch their newly-finished big-budget rich-and-famous feature film: a talent agent persuades Kermit the Frog to leave the swamp to pursue a career in Hollywood. On his way there, he meets a bear, a pig, a whatever (his future muppet crew), and some special celebrity guest stars, while being chased by the desperate owner of a frog-leg restaurant!",More entertaining than humanly possible!
The Naked Gun: From the Files of Police Squad!,1988,"Comedy, Crime","Leslie Nielsen, Priscilla Presley, Ricardo Montalban",,"When the bumbling Lieutenant Frank Drebin investigates events following the shooting of his partner, he stumbles upon an attempt to assassinate Queen Elizabeth II.","You've read the ad, now see the movie!"
The NeverEnding Story,1984,"Adventure, Fantasy, Family","Noah Hathaway, Barret Oliver, Tami Stronach",,"While hiding from bullies in his school's attic, a young boy discovers the extraordinary land of Fantasia, through a magical book called The Neverending Story. The book tells the tale of Atreyu, a young warrior who, with the help of a luck dragon named Falkor, must save Fantasia from the destruction of The Nothing.",A boy who needs a friend finds a world that needs a hero in a land beyond imagination!
The Nun II,2023,Horror,"Taissa Farmiga, Anna Popplewell, Jonas Bloquet",,"In 1956 France, a priest is violently murdered, and Sister Irene begins to investigate. She once again comes face-to-face with a powerful evil.",Confess your sins.
The Omen,1976,"Horror, Thriller","Gregory Peck, Lee Remick, David Warner",,"Immediately after their miscarriage, the US diplomat Robert Thorn adopts the newborn Damien without the knowledge of his wife. Yet what he doesn’t know is that their new son is the son of the devil.",It is the greatest mystery of all because no human being will ever solve it.
The Outlaw Josey Wales,1976,Western,"Clint Eastwood, Chief Dan George, Sondra Locke",,"After avenging his family's brutal murder, Wales is pursued by a pack of soldiers. He prefers to travel alone, but ragtag outcasts are drawn to him - and Wales can't bring himself to leave them unprotected.",...an army of one.
The Outsiders,1983,"Crime, Drama","C. Thomas Howell, Matt Dillon, Ralph Macchio",,"In 1960s Tulsa, class divisions ignite a violent rivalry between the working-class Greasers and the privileged Socs. When a deadly encounter forces two Greasers, Ponyboy and Johnny, to flee, their struggle for survival and redemption exposes the fragile innocence and enduring bonds of youth on the wrong side of town.",They grew up on the outside of society. They weren't looking for a fight. They were looking to belong.
The Passion of the Christ,2004,Drama,"Jim Caviezel, Maia Morgenstern, Christo Jivkov",,A graphic portrayal of the last twelve hours of Jesus of Nazareth's life.,"By his wounds, we were healed."
The Pianist,2002,"Drama, War","Adrien Brody, Thomas Kretschmann, Frank Finlay",,"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",Music was his passion. Survival was his masterpiece.
The Poseidon Adventure,1972,"Adventure, Drama, Thriller","Gene Hackman, Ernest Borgnine, Stella Stevens",,"When their ocean liner capsizes, a group of passengers struggle to survive and escape.","Hell, upside down."
The Post,2017,"Drama, History","Meryl Streep, Tom Hanks, Sarah Paulson",,A cover-up that spanned four U.S. Presidents pushed the country's first female newspaper publisher and a hard-driving editor to join an unprecedented battle between journalist and government. Inspired by true events.,Truth be told
The Postman,1994,"Comedy, Drama, Romance","Massimo Troisi, Philippe Noiret, Maria Grazia Cucinotta",,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,Dreams do come true.
The Prince of Tides,1991,"Drama, Romance","Nick Nolte, Barbra Streisand, Blythe Danner",,A troubled Southern man talks to his suicidal sister's psychiatrist about their family history and falls in love with her (and New York City) in the process.,"A story about the memories that haunt us, and the truth that sets us free."
The Princess Bride,1987,"Adventure, Comedy, Family","Cary Elwes, Robin Wright, Mandy Patinkin",,"In this enchantingly cracked fairy tale, the beautiful Princess Buttercup and the dashing Westley must overcome staggering odds to find happiness amid six-fingered swordsmen, murderous princes, Sicilians and rodents of unusual size. But even death can't stop these true lovebirds from triumphing.",Heroes. Giants. Villains. Wizards. True Love.
The Queen,2006,"Drama, History","Helen Mirren, Michael Sheen, James Cromwell",,"The Queen is an intimate behind the scenes glimpse at the interaction between HM Elizabeth II and Prime Minister Tony Blair during their struggle, following the death of Diana, to reach a compromise between what was a private tragedy for the Royal family and the public's demand for an overt display of mourning.",Our Leaders. Ourselves.
The Reader,2008,"Drama, Romance","Ralph Fiennes, Kate Winslet, David Kross",,"The story of Michael Berg, a German lawyer who, as a teenager in the late 1950s, had an affair with an older woman, Hanna, who then disappeared only to resurface years later as one of the defendants in a war crimes trial stemming from her actions as a concentration camp guard late in the war. He alone realizes that Hanna is illiterate and may be concealing that fact at the expense of her freedom.",Behind the mystery lies a truth that will make you question everything you know.
The Remains of the Day,1993,"Drama, Romance","Anthony Hopkins, Emma Thompson, James Fox",,A rule-bound head butler's world of manners and decorum in the household he maintains is tested by the arrival of a housekeeper who falls in love with him in post-WWI Britain. The possibility of romance and his master's cultivation of ties with the Nazi cause challenge his carefully maintained veneer of servitude.,Diamond in the Rough.
The Rescuers,1977,"Fantasy, Family, Animation","Bob Newhart, Eva Gabor, Geraldine Page",,Two agents of the mouse-run International Rescue Aid Society search for a little orphan girl kidnapped by sinister treasure hunters.,Two tiny agents vs. the world's wickedest woman in a dazzling animated adventure!
